Film;Opening Weekend;Worldwide Gross;Budget
About Time;1.076.250;87,100,449;-
The Fifth Estate;1.673.351;8,555,008;28
Parker;7.008.222;46,216,641;35
The To-Do List;1.579.402;3,566,225;1,5
Grown Ups 2;41.508.572;246,984,278;80
After Earth;27.520.040;243,843,127;130
Captain Phillips;25.718.314;216,485,837;55
Escape Plan;9.885.732;133,375,335;50
Prisoners;20.817.053;122,126,687;46
Stoker;160.547;12,077,441;12
Walking with Dinosaurs;7.091.938;113,191,563;80
Love is All You Need;36.746;10,016,934;5,5
The Kings of Summer;58.962;58.962;2
Iron Man 3;174.144.585;1.215.439.994;200
Despicable Me 2;83.517.315;964.761.265;76
THG: Catching Fire;158.074.286;855.895.310;130
The Desolation of Smaug;73.645.197;847.326.338;225
Frozen;243.390;810.399.011;150
Fast & Furious 6;97.375.245;788.679.850;160
Monsters University;82.429.469;743.559.607;200
Gravity;55.785.112;688.508.962;100
Man of Steel;116.619.362;668.045.518;225
Thor: The Dark World;85.737.841;632.909.243;170
The Croods;43.639.736;587.204.668;135
World War Z;66.411.834;540.007.876;190
Oz The Great & Powerful;79.110.453;493.311.825;215
Star Trek Into Darkness;70.165.559;467.365.246;190
The Wolverine;53.113.752;414.828.246;120
Pacific Rim;37.285.325;411.002.906;190
G.I. Joe: Retaliation;40.501.814;375.740.705;130
The Hangover Part III;41.671.198;362.000.072;103
Now You See Me;29.350.389;351.723.989;75
The Great Gatsby;50.085.185;351.040.419;105
The Smurfs 2;17.548.389;347.545.360;105
The Conjuring;41.855.326;318.000.141;20
A Good Day to Die Hard;24.834.845;304.654.182;92
Oblivion;37.054.485;286.168.572;120
Elysium;29.807.393;286.140.700;115
Turbo;21.312.625;282.570.682;135
We're the Millers;26.419.396;269.994.119;37
Epic;33.531.068;268.426.634;100
The Lone Ranger;29.210.849;260.502.115;215
Cloudy with a Chance of Meatballs 2;34.017.930;257.770.505;78
The Heat;39.115.043;229.930.771;43
Hansel & Gretel;19.690.956;225.703.475;50
Planes;22.232.291;219.788.712;50
White House Down;24.852.258;205.366.737;150
Percy Jackson: Sea of Monsters;14.401.054;199.849.423;90
Jack the Giant Slayer;27.202.226;197.687.603;195
The Wolf of Wall Street;18.361.578;175.608.822;100
Identity Thief;34.551.025;173.965.010;35
The Secret Life of Walter Mitty;12.765.508;169.042.680;90
Lee Daniels' The Butler;24.637.312;167.708.305;30
Anchorman 2;26.232.425;165.503.339;50
American Hustle;740.455;162.399.951;40
Insidious Chapter 2;40.272.103;161.503.032;5
Olympus Has Fallen;30.373.794;161.025.640;70
Bad Grandpa;32.055.177;149.003.019;15
Mama;28.402.310;146.428.180;15
Red 2;18.048.422;142.078.971;84
2 Guns;27.059.130;131.940.411;61
12 years a slave;923.715;128.180.178;20
This is the End;20.719.162;126.041.322;32
47 Ronin;9.910.310;121.755.840;175
Last Vegas;16.334.566;117.741.847;28
Warm Bodies;20.353.967;116.980.662;35
Ender's Game;27.017.351;112.231.473;110
Gangster Squad;17.070.347;105.200.903;60
Riddick;19.030.375;98.337.295;38
Evil Dead;25.775.847;97.542.952;17
42;27.487.144;27.487.186;40
Blue Jasmine;612.064;94.801.545;18
Lone Survivor;90.872;90.872;40
The Internship;17.325.307;93.492.844;58
Saving Mr. Banks;413.373;91.258.310;35
Free Birds;15.805.237;90.835.490;55
The Mortal Instruments: City of Bones;9.336.957;90.565.421;60
Rush;187.289;90.247.624;38
The Purge;34.058.360;89.328.627;3
Pain and Gain;20.244.505;86.175.291;26
Philomena;128.435;84.867.664;12
Carrie;16.101.552;84.029.257;30
Scary Movie 5;14.157.367;78.378.744;20
R.I.P.D.;12.691.415;78.324.220;130
The Best Man Holiday;30.107.555;71.625.195;17
Safe Haven;21.401.594;71.349.120;28
The Counselor;7.842.930;70.237.649;25
The Call;17.118.745;68.572.378;13
Side Effects;9.303.145;63.372.757;30
Runner Runner;7.706.712;62.675.095;30
Beautiful Creatures;7.582.595;60.052.138;60
A Haunted House;18.101.682;59.941.683;2,5
Kick-Ass 2;13.332.955;59.556.104;28
Quartet;47.122;59.520.298;11
The Last Stand;6.281.433;48.330.757;45
The Host;10.600.112;48.227.201;40
The World's End;8.811.790;46.089.287;20
21 and Over;8.754.168;45.582.380;13
Snitch;13.167.607;42.930.462;15
Jobs;6.713.900;35.931.410;12
The Place Beyond the Pines;279.457;35.485.608;15
August: Osage County;179.302;35.455.421;25
Spring Breakers;263.002;31.724.284;5
Homefront;6.915.241;31.358.898;22
Delivery Man;7.944.977;31.331.216;26
Dallas Buyers Club;260.865;30.845.161;5
Don Jon;8.677.009;30.450.756;6
Her;260382;30.365.376;23
Movie 43;4.805.878;29.926.388;6
Grudge Match;7.021.993;29.236.293;40
Mandela: Long Walk to Freedom;84.283;27.262.070;35
Dark Skies;8.189.166;26.421.747;3,5
Enough Said;232.800;24.418.085;8
Trance;131.145;24.261.569;20
Inside Llewyn Davis;405.411;23.206.948;11
The Way, Way Back;552.788;23.198.652;4,6
Baggage Claim;9.031.102;22.456.509;8,5
The Big Wedding;7.591.663;21.819.348;35
